EXPORT DATE,HSN CODE,DESCRIPTION,EXPORTER NAME,EXPORTER ADDRESS,EXPORTER PIN,EXPORTER CITY,EXPORTER STATE,EXPORTER PHONE,EXPORTER EMAIL,IMPORTER NAME,Importer_Address,IMPORTER COUNTRY,UNIT,QUANTITY,CURRENCY,UNIT RATE,FOB INV VALUE,FOB IN USD,IMPORT PORT,EXPORT PORT,SHIPPING BILLNO
30/11/2025,7129030,DEHYDRATED GARLIC FLAKES A GRADE O/D AS PER INV/PL,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,LIBYAN ARAB REPUBLIC,MTS,1.0,USD,1200.0,1200.0,1200.0,Misurata,MUNDRA SEA,7460891
30/11/2025,7122000,DEHYDRATED WHITE ONION POWDER A GRADE O/ D AS PER INV/PL,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,SAUDI ARABIA,MTS,4.0,USD,1610.0,6440.0,6440.0,Jeddah,MUNDRA SEA,7462371
30/11/2025,7122000,DEHYDRATED WHITE ONION FLAKES A GRADE O/ D AS PER INV/PL,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,SAUDI ARABIA,MTS,3.46,USD,1810.0,6262.6,6262.6,Jeddah,MUNDRA SEA,7462371
30/11/2025,7122000,DEHYDRATED ONION WHITE POWDER AD (OTHER DETAILS AS PER INV & PKL),BCFOODS (INDIA) SEASONINGS AND INGREDIENTS PRIVATE,nan,nan,nan,nan,nan,nan,TO ORDER,nan,BRAZIL,KGS,22000.0,USD,1.78,39160.0,39160.0,Itajai,MUNDRA SEA,7457506
30/11/2025,7122000,DEHYDRATED WHITE ONION POWDER A GRADE O/ D AS PER INV/PL,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,LIBYAN ARAB REPUBLIC,MTS,4.0,USD,1500.0,6000.0,6000.0,Misurata,MUNDRA SEA,7460891
30/11/2025,7129020,DEHYDRATED GARLIC POWDER A GRADE O/D AS PER INV/PL,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,LIBYAN ARAB REPUBLIC,MTS,7.575,USD,900.0,6817.5,6817.51,Misurata,MUNDRA SEA,7460891
29/11/2025,7122000,DEHYDRATED WHITE ONION POWDER LOT NO DWA 5/1125,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO THE ORDER,nan,SAUDI ARABIA,MTS,5.0,USD,1454.0,7270.0,7270.0,Riyadh,MUNDRA SEA,7454182
29/11/2025,7122000,DEHYDRATED WHITE ONION FLAKES LOT NO D-W A1/1125,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO THE ORDER,nan,SAUDI ARABIA,MTS,10.3,USD,1650.0,16995.0,16995.0,Riyadh,MUNDRA SEA,7454182
29/11/2025,7122000,DEHYDRATED ONION WHITE POWDER AD SILICON DIOXIDE(OTHER DETAILS AS PER INV & PKL),BCFOODS (INDIA) SEASONINGS AND INGREDIENTS PRIVATE,nan,nan,nan,nan,nan,nan,BC FOODS INC,nan,UNITED STATES,KGS,9979.2,USD,2.22,22153.82,22153.82,Chicago,MUNDRA SEA,7453940
29/11/2025,7122000,DEHYDRATED ONION WHITE MINCED AD IRRADIA TED (OTHER DETAILS AS PER INV & PKL),BCFOODS (INDIA) SEASONINGS AND INGREDIENTS PRIVATE,nan,nan,nan,nan,nan,nan,BC FOODS INC,nan,UNITED STATES,KGS,8845.2,USD,2.449,21661.89,21661.89,Chicago,MUNDRA SEA,7453940
29/11/2025,7122000,DEHYDRATED ONION WHITE POWDER AD SILICON DIOXIDE ( OTHER DTAILS AS PER INV & PKL ),BCFOODS (INDIA) SEASONINGS AND INGREDIENTS PRIVATE,nan,nan,nan,nan,nan,nan,BC FOODS INC,nan,UNITED STATES,KGS,19051.2,USD,2.22,42293.66,42293.66,Chicago,MUNDRA SEA,7453835
29/11/2025,7129020,"DEHYDRATED GARLIC POWDER, PACKING IN 480 CARTONS X 25 KGS. O/DTLS AS PER INVOICE & P/LIST",PARDES QUICK FOODS & DEHYDRATION PRIVATE LIMITED,nan,nan,nan,nan,nan,nan,TO ORDER. U.A.E,nan,UNITED ARAB EMIRATES,MTS,12.0,USD,725.0,8700.0,8700.0,Jebel Ali,MUNDRA SEA,7426400
29/11/2025,7122000,"DEHYDRATED ONION MINCED 1ST QUALITY (TOA STED), PACKING IN 18 KGS CARTONS. O/DTLS AS PER INVOICE & P/LIST",PARDES QUICK FOODS & DEHYDRATION PRIVATE LIMITED,nan,nan,nan,nan,nan,nan,TO ORDER. U.S.A,nan,UNITED STATES,MTS,20.016,USD,2687.0,53782.99,53783.0,New York,MUNDRA SEA,7426414
29/11/2025,7129020,DEHYDRATED GARLIC POWDER,RAM FOODS,nan,nan,nan,nan,nan,nan,TO THE ORDER,nan,IRAQ,KGS,13600.0,USD,0.7,9520.0,9520.0,Umm Qasr,MUNDRA SEA,7425979
29/11/2025,7122000,DEHYDRATED WHITE ONION KIBBLED 5-25MM LO W BAC TPP 4.5KG (REST ALL OTHER DETAILS AS PER INVOICE),NEDSPICE DEHYDRATION INDIA LLP,101 VISHAL FLATS OPP VRUNDAVANDHAM,364290,MAHUVA,nan,nan,nan,Nedspice Dehydrated Ingredients BV,"Coolsingel 65, 3012 AC Rotterdam, The Netherlands",NETHERLANDS,KGS,14040.0,USD,2650.0,37206.0,37206.0,Rotterdam,MUNDRA SEA,7428876
29/11/2025,7122000,DEHYDRATED ONION WHITE MINCED AD IRRADIA TED (OTHER DETAILS AS PER INV & PKL),BCFOODS (INDIA) SEASONINGS AND INGREDIENTS PRIVATE,nan,nan,nan,nan,nan,nan,BC FOODS INC,nan,UNITED STATES,KGS,8845.2,USD,2.449,21661.89,21661.89,Chicago,MUNDRA SEA,2096852
29/11/2025,7122000,DEHYDRATED ONION WHITE POWDER AD SILICON DIOXIDE(OTHER DETAILS AS PER INV & PKL),BCFOODS (INDIA) SEASONINGS AND INGREDIENTS PRIVATE,nan,nan,nan,nan,nan,nan,BC FOODS INC,nan,UNITED STATES,KGS,9979.2,USD,2.22,22153.82,22153.82,Chicago,MUNDRA SEA,2096852
29/11/2025,7122000,DEHYDRATED ONION WHITE POWDER AD SILICON DIOXIDE(OTHER DETAILS AS PER INV & PKL),BCFOODS (INDIA) SEASONINGS AND INGREDIENTS PRIVATE,nan,nan,nan,nan,nan,nan,BC FOODS INC,nan,UNITED STATES,KGS,9979.2,USD,2.22,22153.82,22153.82,Chicago,MUNDRA SEA,2096823
29/11/2025,7122000,DEHYDRATED ONION WHITE MINCED AD IRRADIA TED (OTHER DETAILS AS PER INV & PKL),BCFOODS (INDIA) SEASONINGS AND INGREDIENTS PRIVATE,nan,nan,nan,nan,nan,nan,BC FOODS INC,nan,UNITED STATES,KGS,8845.2,USD,2.449,21661.89,21661.89,Chicago,MUNDRA SEA,2096823
29/11/2025,7129020,DEHYDRATED GARLIC POWDER,RAM FOODS,nan,nan,nan,nan,nan,nan,TO THE ORDER,nan,IRAQ,KGS,13600.0,USD,0.7,9520.0,9520.0,Umm Qasr,MUNDRA SEA,2064140
28/11/2025,7122000,DEHYDRATED WHITE ONION MINCED 1-3MM.GRAD E A O/D AS PER INV/PL,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,RUSSIA,MTS,1.5,INR,140800.0,211200.0,2405.47,St Petersburg (Ex Le,MUNDRA SEA,7390018
28/11/2025,7122000,"DEHYDRATED WHITE ONION POWDER, A GRADE O /D AS PER INV/PL",DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,RUSSIA,MTS,1.5,INR,114400.0,171600.0,1954.44,St Petersburg (Ex Le,MUNDRA SEA,7390018
28/11/2025,7122000,DEHYDRATED WHITE ONION FLAKES GRADE A O/ D AS PER INV/PL,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,RUSSIA,MTS,4.018,INR,123200.0,495017.6,5638.02,St Petersburg (Ex Le,MUNDRA SEA,7390018
28/11/2025,7129020,DEHYDRATED GARLIC POWDER,RAM FOODS,nan,nan,nan,nan,nan,nan,TO THE ORDER,nan,IRAQ,KGS,13600.0,USD,0.7,9520.0,9520.0,Umm Qasr,MUNDRA SEA,2052400
28/11/2025,7122000,ONION SLICES AS PER INV,MURTUZA FOOD INGREDIENTS LLP,SURVEY NO 274 PLOT NO 2 OTHA,364290,MAHUVA,nan,nan,nan,TO THE ORDER,nan,SPAIN,MTS,15.5,USD,2200.0,34100.0,34100.0,Valencia,MUNDRA SEA,7384967
28/11/2025,7122000,DEHYDRATED WHITE ONION CHOPPED 3-5MM. GR ADE A O/D AS PER INV/PL,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO  THE  ORDER,nan,RUSSIA,MTS,1.0,INR,140800.0,140800.0,1603.64,St Petersburg (Ex Le,MUNDRA SEA,7390018
28/11/2025,7122000,DEHYDRATED WHITE ONION POWDER A GRADE (AS PER INV).,PARTH FOODS,BHAVNAGAR NATIONAL HIGHWAY VILLAGE BHADROD,PIN-364290,MAHUVA/GUJARAT,GUJARAT,nan,nan,TO THE ORDER,nan,SPAIN,KGS,13425.0,USD,1.55,20808.75,20808.75,Barcelona,MUNDRA SEA,7418643
28/11/2025,7129020,"DEHYDRATED GARLIC POWDER, GRADE: A,",PAMIRA FOODS,SURVEY NO 49 P2 KODINAR HIGHWAY VILLAGE SILOJ TAL UNA,PIN-362560,JUNAGADH/GUJARAT,nan,nan,nan,TO ORDER,nan,BAHRAIN,KGS,500.0,USD,1.58,790.0,790.0,Bahrain,MUNDRA SEA,7404500
28/11/2025,7129030,"DEHYDRATED GARLIC GRANULES, GRADE: A,",PAMIRA FOODS,SURVEY NO 49 P2 KODINAR HIGHWAY VILLAGE SILOJ TAL UNA,PIN-362560,JUNAGADH/GUJARAT,nan,nan,nan,TO ORDER,nan,BAHRAIN,KGS,500.0,USD,2.2,1100.0,1100.0,Bahrain,MUNDRA SEA,7404500
28/11/2025,7122000,"DEHYDRATED ONION GRANULES, GRADE: A,",PAMIRA FOODS,SURVEY NO 49 P2 KODINAR HIGHWAY VILLAGE SILOJ TAL UNA,PIN-362560,JUNAGADH/GUJARAT,nan,nan,nan,TO ORDER,nan,BAHRAIN,KGS,500.0,USD,1.93,965.0,965.0,Bahrain,MUNDRA SEA,7404500
27/11/2025,7122000,DEYDRATED WHITE ONION KIBBLED  (A GRADE),B K DEHY FOODS,SURVEY NO 103 2 2 HARI PARA ROAD VILLAGE BHANVAD,PIN-364290,"MAHUVA,GUJARAT",nan,nan,nan,TO,nan,GERMANY,MTS,16.8,USD,1900.0,31920.0,31920.0,Hamburg,MUNDRA SEA,7352402
27/11/2025,7122000,DEHYDRATED WHITE ONION FLAKES A GRADE BA TCH NO: - F0605WF,SHAKTI FOODS,SURVEY NO 208 P 2 2 HARIPARA ROA D MOTA JADARA,PIN-364290,"MAHUVA,GUJARAT",nan,nan,nan,TO ORDER,nan,FRANCE,MTS,5.012,USD,1690.0,8470.28,8470.28,Fos sur Mer,MUNDRA SEA,7374793
27/11/2025,7122000,"DEHYDRATED WHITE ONION CHOPPED A GRADE B ATCH NO: - F0608WC, SIZE: 3-5 MM",SHAKTI FOODS,SURVEY NO 208 P 2 2 HARIPARA ROA D MOTA JADARA,PIN-364290,"MAHUVA,GUJARAT",nan,nan,nan,TO ORDER,nan,FRANCE,MTS,5.0,USD,2085.0,10425.0,10425.0,Fos sur Mer,MUNDRA SEA,7374793
27/11/2025,7122000,"DEHYDRATED RED ONION CHOPPED (SHALLOT CH OPPED) A GRADE BATCH NO: - F0715RC, SIZE : 3-5 MM",SHAKTI FOODS,SURVEY NO 208 P 2 2 HARIPARA ROA D MOTA JADARA,PIN-364290,"MAHUVA,GUJARAT",nan,nan,nan,TO ORDER,nan,FRANCE,MTS,5.0,USD,2160.0,10800.0,10800.0,Fos sur Mer,MUNDRA SEA,7374793
27/11/2025,7122000,DEHYDRATED RED ONION FLAKES (SHALLOT FLA KES) A GRADE BATCH NO: - F0610RF,SHAKTI FOODS,SURVEY NO 208 P 2 2 HARIPARA ROA D MOTA JADARA,PIN-364290,"MAHUVA,GUJARAT",nan,nan,nan,TO ORDER,nan,FRANCE,MTS,4.004,USD,2160.0,8648.64,8648.64,Fos sur Mer,MUNDRA SEA,7374793
27/11/2025,7122000,Dehydrated White Onion Flakes AAA Grade 1116 PAPER BAGS INSIDE 1 POLY BAG OF 14. 00 KG NET OTHER DETAILS AS PER INV & PL,NEW FOOD,S NO 38 3P 2P1 LUSADI ROAD AT BHA DRA TA MAHUVA,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO ORDER,nan,ALBANIA,KGS,15624.0,USD,1.7,26560.8,26560.8,DURRES,MUNDRA SEA,7374176
27/11/2025,7122000,DEHYDRATED WHITE ONION FLAKES A GRADE,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO THE ORDER  SAUDI ARABIA,nan,SAUDI ARABIA,MTS,13.2,USD,1700.0,22440.0,22440.0,Riyadh,MUNDRA SEA,7375769
27/11/2025,7129020,DEHYDRATED GARLIC POWDER,POOJA DEHY. FOODS PRIVATE LIMITED,nan,nan,nan,nan,nan,nan,TO  THE  ORDER,nan,MALAYSIA,MTS,6.0,USD,1190.0,7140.0,7140.0,Port Kelang,MUNDRA SEA,7378631
27/11/2025,7122000,DEHYDRATED ONION POWDER,POOJA DEHY. FOODS PRIVATE LIMITED,nan,nan,nan,nan,nan,nan,TO  THE  ORDER,nan,MALAYSIA,MTS,1.0,USD,1725.0,1725.0,1725.0,Port Kelang,MUNDRA SEA,7378631
27/11/2025,7122000,DEHYDRATED WHITE ONION FLAKES PREMIUM GR ADE (O/D AS PER INV).,NDV FOODS,160 3 Nana Jadra Saver Kundla Road,364290,Mahuva,nan,nan,nan,TO ORDER,nan,LITHUANIA,KGS,1008.0,USD,1.77,1784.16,1784.16,Klaipeda,MUNDRA SEA,7379337
27/11/2025,7122000,TOASTED ONION FLAKES (O/D AS PER INV).,NDV FOODS,160 3 Nana Jadra Saver Kundla Road,364290,Mahuva,nan,nan,nan,TO ORDER,nan,LITHUANIA,KGS,1500.0,USD,1.92,2880.0,2880.0,Klaipeda,MUNDRA SEA,7379337
27/11/2025,7129030,GARLIC GRANULES 26-40 MESH (O/D AS PER I NV).,NDV FOODS,160 3 Nana Jadra Saver Kundla Road,364290,Mahuva,nan,nan,nan,TO ORDER,nan,LITHUANIA,KGS,2500.0,USD,1.9,4750.0,4750.0,Klaipeda,MUNDRA SEA,7379337
27/11/2025,7129030,GARLIC GRANULES 8-16 MESH (O/D AS PER IN V).,NDV FOODS,160 3 Nana Jadra Saver Kundla Road,364290,Mahuva,nan,nan,nan,TO ORDER,nan,LITHUANIA,KGS,1000.0,USD,1.9,1900.0,1900.0,Klaipeda,MUNDRA SEA,7379337
27/11/2025,7129020,GARLIC POWDER AAA GRADE (O/D AS PER INV) .,NDV FOODS,160 3 Nana Jadra Saver Kundla Road,364290,Mahuva,nan,nan,nan,TO ORDER,nan,LITHUANIA,KGS,500.0,USD,1.65,825.0,825.0,Klaipeda,MUNDRA SEA,7379337
27/11/2025,7122000,DEHYDRATED WHITE ONION MINCED (1-3MM) 1S T GRADE (O/D AS PER INV).,NDV FOODS,160 3 Nana Jadra Saver Kundla Road,364290,Mahuva,nan,nan,nan,TO ORDER,nan,LITHUANIA,KGS,8000.0,USD,1.82,14560.0,14560.0,Klaipeda,MUNDRA SEA,7379337
27/11/2025,7122000,DEHYDRATED WHITE ONION GRANULES (0.2-1MM ) 1ST GRADE (O/D AS PER INV).,NDV FOODS,160 3 Nana Jadra Saver Kundla Road,364290,Mahuva,nan,nan,nan,TO ORDER,nan,LITHUANIA,KGS,2500.0,USD,1.82,4550.0,4550.0,Klaipeda,MUNDRA SEA,7379337
27/11/2025,7122000,ONION SLICES AS PER INV,MURTUZA FOOD INGREDIENTS LLP,SURVEY NO 274 PLOT NO 2 OTHA,364290,MAHUVA,nan,nan,nan,TO THE ORDER,nan,SPAIN,MTS,15.5,USD,2200.0,34100.0,34100.0,Valencia,MUNDRA SEA,7347213
26/11/2025,7129030,DEHYDRATED GARLIC GRANULES 26-40,POOJA DEHY. FOODS PRIVATE LIMITED,nan,nan,nan,nan,nan,nan,TO THE ORDER,nan,ANGOLA,MTS,1.5,USD,2290.0,3435.0,3435.0,Luanda,MUNDRA SEA,7325631
26/11/2025,7122000,ONION SLICES AS PER INV,MURTUZA FOOD INGREDIENTS LLP,SURVEY NO 274 PLOT NO 2 OTHA,364290,MAHUVA,nan,nan,nan,TO THE ORDER,nan,SPAIN,MTS,15.5,USD,2200.0,34100.0,34100.0,Valencia,MUNDRA SEA,7324422
26/11/2025,7122000,DEHYDRATED WHITE ONION CHOPPED 3-5MM EXT RA LOW BAC 14KG (REST ALL OTHER DETAILS AS PER INVOICE),NEDSPICE DEHYDRATION INDIA LLP,101 VISHAL FLATS OPP VRUNDAVANDHAM,364290,MAHUVA,nan,nan,nan,Nedspice Dehydrated Ingredients BV,"Coolsingel 65, 3012 AC Rotterdam, The Netherlands",NETHERLANDS,KGS,15120.0,USD,2730.81,41289.85,41289.85,Rotterdam,MUNDRA SEA,7321376
25/11/2025,7122000,Dehydrated White Onion Powder 80-100Mesh Low Bac 25kg OW AS PER INVOICE,NEDSPICE DEHYDRATION INDIA LLP,101 VISHAL FLATS OPP VRUNDAVANDHAM,364290,MAHUVA,nan,nan,nan,Nedspice Dehydrated Ingredients BV,"Coolsingel 65, 3012 AC Rotterdam, The Netherlands",NETHERLANDS,MTS,25.0,USD,2650.0,66250.0,66250.0,Rotterdam,MUNDRA SEA,7287444
25/11/2025,7122000,"DEHYDRATED ONION POWDER, PACKING IN 75 C ARTONS x 20 KGS. O/DTLS AS PER INVOICE & P/LIST",PARDES QUICK FOODS & DEHYDRATION PRIVATE LIMITED,nan,nan,nan,nan,nan,nan,TO ORDER. U.A.E,nan,UNITED ARAB EMIRATES,MTS,1.5,USD,1500.0,2250.0,2250.0,Jebel Ali,MUNDRA SEA,7294905
25/11/2025,7122000,DEYDRATED WHITE ONION KIBBLED (A GRADE),B K DEHY FOODS,SURVEY NO 103 2 2 HARI PARA ROAD VILLAGE BHANVAD,PIN-364290,"MAHUVA,GUJARAT",nan,nan,nan,TO,nan,GERMANY,MTS,16.8,USD,1909.0,32071.2,32071.2,Hamburg,MUNDRA SEA,7297440
25/11/2025,7122000,DEHYDRATED WHITE ONION CHOPPED 3-5 MM GR ADE A,DELICIOUS FOOD,176 P2 1 RATOL ROAD AT TALGAJARD A,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,TO THE ORDER,nan,RUSSIA,MTS,4.0,INR,141020.0,564080.0,6424.6,St Petersburg (Ex Le,MUNDRA SEA,7286487
